# Time-averaged data for fix 2
# TimeStep c_KE c_PE c_PRESS c_TEMP
256 1915.28 -46.8299 0.0517182 2.55882
257 1914.53 -46.0772 0.0518014 2.55783
258 1913.51 -45.0608 0.0519277 2.55646
259 1912.4 -43.9391 0.0520689 2.55497
260 1911.42 -42.9413 0.0521875 2.55367
261 1910.81 -42.3274 0.0522447 2.55285
262 1910.69 -42.2277 0.0522197 2.5527
263 1911.05 -42.5924 0.0521188 2.55317
264 1911.68 -43.2413 0.0519717 2.55402
265 1912.29 -43.9008 0.0518235 2.55483
266 1912.57 -44.1911 0.0517283 2.55521
267 1912.34 -43.95 0.0517135 2.55489
268 1911.65 -43.2449 0.0517696 2.55397
269 1910.86 -42.4364 0.0518419 2.55292
270 1910.43 -41.9816 0.0518585 2.55235
271 1910.61 -42.1751 0.051777 2.55258
272 1911.23 -42.8205 0.0516252 2.55341
273 1911.91 -43.5168 0.0514625 2.55433
274 1912.43 -44.018 0.0513264 2.55502
275 1912.78 -44.3574 0.0512149 2.55548
276 1913.09 -44.6447 0.0511104 2.5559
277 1913.48 -45.0339 0.0509936 2.55642
278 1913.95 -45.5042 0.0508673 2.55704
279 1914.37 -45.9273 0.0507506 2.55761
280 1914.61 -46.1735 0.0506647 2.55793
281 1914.59 -46.1578 0.0506223 2.5579
282 1914.35 -45.8942 0.0506186 2.55758
283 1914.05 -45.589 0.0506247 2.55719
284 1913.89 -45.4009 0.0506134 2.55697
285 1913.96 -45.4978 0.0505633 2.55707
286 1914.24 -45.7791 0.0504846 2.55743
287 1914.58 -46.123 0.0503969 2.55789
288 1914.85 -46.4 0.0503203 2.55825
289 1914.98 -46.5416 0.0502659 2.55843
290 1914.98 -46.5326 0.0502349 2.55842
291 1914.87 -46.4203 0.0502194 2.55828
292 1914.75 -46.2989 0.0502063 2.55812
293 1914.68 -46.1961 0.0501883 2.55802
294 1914.69 -46.1953 0.0501549 2.55803
295 1914.8 -46.3131 0.0501032 2.55819
296 1915.02 -46.5168 0.0500369 2.55847
297 1915.29 -46.783 0.0499604 2.55884
298 1915.58 -47.0826 0.0498801 2.55923
299 1915.84 -47.3748 0.0498031 2.55958
300 1916.04 -47.5753 0.0497397 2.55984
301 1916.13 -47.7046 0.049691 2.55996
302 1916.12 -47.6816 0.0496648 2.55994
303 1915.98 -47.5394 0.0496585 2.55977
304 1915.76 -47.3234 0.0496668 2.55947
305 1915.48 -47.0512 0.049685 2.55909
306 1915.21 -46.7775 0.0497038 2.55873
307 1915.01 -46.5639 0.0497125 2.55846
308 1914.95 -46.5329 0.0496961 2.55839
309 1915.08 -46.659 0.0496538 2.55855
310 1915.38 -46.9788 0.0495829 2.55896
311 1915.83 -47.4349 0.0494918 2.55956
312 1916.36 -47.9435 0.0493925 2.56026
313 1916.9 -48.4656 0.0492939 2.561
314 1917.42 -48.9701 0.0492033 2.56169
315 1917.89 -49.4396 0.0491255 2.56231
316 1918.28 -49.8109 0.049068 2.56283
317 1918.59 -50.1225 0.04903 2.56325
318 1918.8 -50.3299 0.0490174 2.56353
319 1918.88 -50.4065 0.0490359 2.56363
320 1918.77 -50.2994 0.0490941 2.56349
321 1918.4 -49.9278 0.0492043 2.563
322 1917.68 -49.2279 0.0493778 2.56202
323 1916.48 -48.052 0.0496326 2.56043
324 1914.74 -46.297 0.0499801 2.5581
325 1912.44 -44.0004 0.0504126 2.55503
326 1909.81 -41.351 0.0508946 2.55151
327 1907.35 -38.8433 0.0513434 2.54823
328 1905.84 -37.2803 0.0516351 2.54622
329 1905.86 -37.3017 0.0516729 2.54623
330 1907.35 -38.8244 0.0514662 2.54823
331 1909.7 -41.2059 0.0511149 2.55137
332 1912.17 -43.6839 0.0507377 2.55467
333 1914.29 -45.8024 0.0504099 2.5575
334 1915.88 -47.4049 0.0501605 2.55962
335 1916.97 -48.4914 0.0499921 2.56108
336 1917.65 -49.1608 0.049893 2.56199
337 1918.02 -49.5199 0.0498485 2.56248
338 1918.16 -49.6758 0.0498437 2.56267
339 1918.16 -49.6983 0.0498672 2.56267
340 1918.08 -49.6247 0.0499103 2.56257
341 1917.97 -49.5155 0.0499632 2.56242
342 1917.89 -49.4184 0.0500177 2.56231
343 1917.87 -49.4032 0.0500646 2.56228
344 1917.92 -49.4551 0.0501028 2.56236
345 1918.07 -49.619 0.0501281 2.56255
346 1918.29 -49.8532 0.0501449 2.56285
347 1918.55 -50.1158 0.0501593 2.56319
348 1918.79 -50.3657 0.0501791 2.56351
349 1918.93 -50.5156 0.0502172 2.5637
350 1918.89 -50.4908 0.0502862 2.56364
351 1918.56 -50.1574 0.0504028 2.56321
